clustername	contigname
nneighs_0	Ssample_0CNODE_20_length_280018_cov_99.471412
nneighs_0	Ssample_0CNODE_138_length_83740_cov_99.958105
nneighs_0	Ssample_2CNODE_2042_length_2733_cov_1.564974
nneighs_0	Ssample_0CNODE_489_length_19847_cov_98.722262
nneighs_0	Ssample_0CNODE_8_length_442018_cov_100.767888
nneighs_0	Ssample_5CNODE_18_length_327285_cov_44.849476
nneighs_0	Ssample_5CNODE_53_length_139775_cov_45.154974
nneighs_0	Ssample_2CNODE_1907_length_2880_cov_2.193628
nneighs_0	Ssample_0CNODE_321_length_33467_cov_100.836646
nneighs_0	Ssample_0CNODE_271_length_41354_cov_100.291000
nneighs_0	Ssample_2CNODE_1339_length_3775_cov_2.546237
nneighs_0	Ssample_5CNODE_21_length_304530_cov_44.474860
nneighs_0	Ssample_2CNODE_1874_length_2909_cov_1.928872
nneighs_0	Ssample_5CNODE_73_length_115606_cov_44.895622
nneighs_0	Ssample_0CNODE_82_length_119983_cov_98.046128
nneighs_0	Ssample_2CNODE_3124_length_2035_cov_2.169697
nneighs_0	Ssample_5CNODE_51_length_141102_cov_45.029862
nneighs_0	Ssample_5CNODE_4_length_608496_cov_44.735095
nneighs_0	Ssample_0CNODE_546_length_17301_cov_99.728865
nneighs_0	Ssample_5CNODE_16_length_332247_cov_45.232898
nneighs_0	Ssample_0CNODE_80_length_121121_cov_101.114582
nneighs_0	Ssample_5CNODE_167_length_50717_cov_45.292665
nneighs_0	Ssample_0CNODE_3_length_608490_cov_99.711231
nneighs_0	Ssample_2CNODE_1106_length_4536_cov_2.579112
nneighs_0	Ssample_0CNODE_4_length_575187_cov_97.804224
nneighs_0	Ssample_0CNODE_131_length_87255_cov_100.254966
nneighs_0	Ssample_5CNODE_81_length_107958_cov_45.165500
nneighs_0	Ssample_0CNODE_545_length_17305_cov_99.747710
nneighs_0	Ssample_5CNODE_5_length_592476_cov_44.882676
nneighs_0	Ssample_0CNODE_136_length_84287_cov_96.685357
nneighs_0	Ssample_0CNODE_1_length_1022963_cov_99.574308
nneighs_0	Ssample_0CNODE_139_length_83531_cov_99.604845
nneighs_0	Ssample_0CNODE_291_length_36744_cov_100.150999
nneighs_0	Ssample_5CNODE_105_length_78449_cov_44.764905
nneighs_0	Ssample_0CNODE_26_length_247753_cov_100.921001
nneighs_0	Ssample_0CNODE_102_length_107958_cov_100.773760
nneighs_0	Ssample_8CNODE_2981_length_2058_cov_1.328008
nneighs_0	Ssample_5CNODE_62_length_127630_cov_44.864872
nneighs_0	Ssample_0CNODE_240_length_46825_cov_102.652256
nneighs_0	Ssample_0CNODE_134_length_86350_cov_97.816930
nneighs_0	Ssample_2CNODE_1650_length_3233_cov_2.294840
nneighs_0	Ssample_5CNODE_24_length_270500_cov_45.025477
nneighs_0	Ssample_0CNODE_231_length_48140_cov_100.099532
nneighs_0	Ssample_0CNODE_11_length_370486_cov_99.862819
nneighs_0	Ssample_2CNODE_2395_length_2415_cov_2.099576
nneighs_0	Ssample_2CNODE_2147_length_2626_cov_2.496694
nneighs_0	Ssample_2CNODE_2511_length_2338_cov_2.177398
nneighs_0	Ssample_5CNODE_1_length_1636047_cov_44.872820
nneighs_0	Ssample_0CNODE_32_length_212109_cov_98.186391
nneighs_0	Ssample_0CNODE_5_length_554636_cov_99.256065
nneighs_0	Ssample_0CNODE_78_length_124679_cov_96.600205
nneighs_0	Ssample_5CNODE_6_length_555336_cov_44.844025
nneighs_1	Ssample_0CNODE_15_length_322366_cov_12.705266
nneighs_1	Ssample_0CNODE_79_length_124138_cov_12.480944
nneighs_1	Ssample_0CNODE_29_length_230205_cov_12.466909
nneighs_1	Ssample_5CNODE_1950_length_6313_cov_21.554650
nneighs_1	Ssample_0CNODE_624_length_14966_cov_12.254644
nneighs_1	Ssample_5CNODE_37_length_184852_cov_20.603760
nneighs_1	Ssample_0CNODE_697_length_13358_cov_13.019920
nneighs_1	Ssample_5CNODE_49_length_144962_cov_20.469059
nneighs_1	Ssample_5CNODE_195_length_44700_cov_24.161765
nneighs_1	Ssample_0CNODE_98_length_110204_cov_12.965855
nneighs_1	Ssample_5CNODE_104_length_78719_cov_20.853389
nneighs_1	Ssample_5CNODE_28_length_230205_cov_21.151784
nneighs_1	Ssample_5CNODE_2428_length_5291_cov_21.596257
nneighs_1	Ssample_5CNODE_3651_length_3771_cov_19.342573
nneighs_1	Ssample_5CNODE_993_length_11398_cov_20.814952
nneighs_1	Ssample_0CNODE_77_length_127874_cov_12.329106
nneighs_1	Ssample_0CNODE_223_length_49789_cov_12.815237
nneighs_1	Ssample_5CNODE_98_length_81430_cov_21.399189
nneighs_1	Ssample_5CNODE_71_length_116925_cov_20.681655
nneighs_1	Ssample_0CNODE_91_length_116925_cov_12.543031
nneighs_1	Ssample_0CNODE_92_length_115878_cov_13.102320
nneighs_1	Ssample_0CNODE_415_length_23544_cov_12.775001
nneighs_1	Ssample_0CNODE_64_length_150538_cov_12.517474
nneighs_1	Ssample_0CNODE_86_length_117444_cov_12.542478
nneighs_1	Ssample_0CNODE_61_length_161274_cov_12.617954
nneighs_1	Ssample_5CNODE_2_length_781504_cov_20.934412
nneighs_1	Ssample_5CNODE_35_length_193623_cov_21.067728
nneighs_1	Ssample_5CNODE_168_length_50669_cov_20.889260
nneighs_1	Ssample_0CNODE_499_length_19438_cov_12.934479
nneighs_1	Ssample_5CNODE_165_length_51418_cov_20.649281
nneighs_1	Ssample_0CNODE_159_length_70269_cov_12.922679
nneighs_1	Ssample_0CNODE_427_length_22739_cov_12.139790
nneighs_1	Ssample_5CNODE_50_length_144942_cov_20.830116
nneighs_1	Ssample_5CNODE_70_length_117710_cov_21.025719
nneighs_1	Ssample_5CNODE_496_length_21229_cov_20.609002
nneighs_1	Ssample_5CNODE_22_length_292949_cov_20.965226
nneighs_1	Ssample_5CNODE_148_length_57683_cov_23.559138
nneighs_1	Ssample_0CNODE_114_length_99228_cov_12.294032
nneighs_1	Ssample_5CNODE_255_length_34265_cov_20.549284
nneighs_1	Ssample_0CNODE_346_length_29182_cov_12.559172
nneighs_1	Ssample_0CNODE_3874_length_3064_cov_11.528747
nneighs_1	Ssample_5CNODE_78_length_111942_cov_20.880531
nneighs_1	Ssample_5CNODE_1047_length_10906_cov_21.677818
nneighs_1	Ssample_0CNODE_339_length_30008_cov_13.494308
nneighs_1	Ssample_0CNODE_40_length_188586_cov_12.908530
nneighs_1	Ssample_0CNODE_276_length_39440_cov_13.138784
nneighs_1	Ssample_5CNODE_57_length_137047_cov_21.088217
nneighs_1	Ssample_0CNODE_66_length_145169_cov_12.619809
nneighs_1	Ssample_5CNODE_102_length_80529_cov_21.190521
nneighs_1	Ssample_0CNODE_174_length_65917_cov_13.043864
nneighs_1	Ssample_0CNODE_299_length_35235_cov_12.662649
nneighs_1	Ssample_0CNODE_90_length_117195_cov_12.346491
nneighs_1	Ssample_0CNODE_122_length_91561_cov_12.211068
nneighs_1	Ssample_5CNODE_7_length_482836_cov_20.716375
nneighs_1	Ssample_5CNODE_368_length_26146_cov_20.730673
nneighs_1	Ssample_0CNODE_2_length_722452_cov_12.699646
nneighs_1	Ssample_5CNODE_240_length_35464_cov_20.858369
nneighs_1	Ssample_0CNODE_311_length_34349_cov_12.716510
nneighs_1	Ssample_0CNODE_109_length_101411_cov_13.139834
nneighs_1	Ssample_0CNODE_100_length_109184_cov_12.470471
nneighs_1	Ssample_5CNODE_65_length_126091_cov_21.150259
nneighs_1	Ssample_5CNODE_331_length_28123_cov_20.814166
nneighs_1	Ssample_5CNODE_64_length_127406_cov_20.786087
nneighs_1	Ssample_5CNODE_23_length_290433_cov_20.698221
nneighs_1	Ssample_0CNODE_96_length_111288_cov_12.982496
nneighs_1	Ssample_5CNODE_69_length_119406_cov_21.249625
nneighs_1	Ssample_0CNODE_142_length_81938_cov_13.066155
nneighs_1	Ssample_5CNODE_63_length_127582_cov_20.665726
nneighs_1	Ssample_5CNODE_46_length_153558_cov_20.810805
nneighs_1	Ssample_5CNODE_75_length_114402_cov_21.597243
nneighs_1	Ssample_5CNODE_146_length_57898_cov_20.790139
nneighs_1	Ssample_5CNODE_318_length_29005_cov_26.396028
nneighs_1	Ssample_0CNODE_143_length_81332_cov_12.174182
nneighs_1	Ssample_0CNODE_57_length_164010_cov_13.179982
nneighs_1	Ssample_0CNODE_237_length_47186_cov_12.575969
nneighs_1	Ssample_5CNODE_138_length_62109_cov_21.330535
nneighs_1	Ssample_0CNODE_65_length_147240_cov_12.863600
nneighs_1	Ssample_5CNODE_626_length_17025_cov_20.880495
nneighs_1	Ssample_0CNODE_58_length_162841_cov_12.566842
nneighs_1	Ssample_5CNODE_509_length_20867_cov_21.408274
nneighs_1	Ssample_0CNODE_73_length_137047_cov_12.485663
nneighs_1	Ssample_0CNODE_81_length_120691_cov_12.405973
nneighs_1	Ssample_5CNODE_76_length_114286_cov_20.793611
nneighs_1	Ssample_0CNODE_3852_length_3075_cov_13.544040
nneighs_1	Ssample_0CNODE_62_length_159049_cov_12.885411
nneighs_1	Ssample_0CNODE_85_length_117805_cov_12.527253
nneighs_1	Ssample_0CNODE_420_length_23355_cov_11.814335
nneighs_1	Ssample_5CNODE_38_length_182407_cov_21.313015
nneighs_1	Ssample_0CNODE_94_length_114286_cov_12.532754
nneighs_1	Ssample_0CNODE_414_length_23770_cov_12.661016
nneighs_1	Ssample_0CNODE_3256_length_3577_cov_13.463657
nneighs_1	Ssample_5CNODE_14_length_334097_cov_20.768685
nneighs_1	Ssample_0CNODE_124_length_90766_cov_12.930604
nneighs_1	Ssample_0CNODE_132_length_86964_cov_12.795476
nneighs_1	Ssample_0CNODE_69_length_140721_cov_12.744466
nneighs_1	Ssample_5CNODE_99_length_81332_cov_20.775582
nneighs_1	Ssample_5CNODE_265_length_33256_cov_21.018614
nneighs_1	Ssample_5CNODE_430_length_23355_cov_21.098755
nneighs_1	Ssample_5CNODE_114_length_72998_cov_21.287704
